modelo,target,rmse_cv,mae_cv,r2_cv,rmse_ho,mae_ho,r2_ho
Baseline_Ridge,lcoh_s1_brl_kg,11.650803836990455,8.805581462479578,-0.29684167298766423,9.848989494491994,7.580832540408451,0.18679109590330945
XGBoost,lcoh_s1_brl_kg,1.981923643451123,1.0407434176444836,0.9419320304631649,0.38310306005907857,0.26956019699183803,0.9987695895280759
LightGBM,lcoh_s1_brl_kg,2.452187515340993,1.0618189965281222,0.8979747980046301,0.3447800774786483,0.22284280959684363,0.9990034408003354
Baseline_Ridge,lcoh_s2_brl_kg,11.650803832984435,8.805581458337025,0.15055480806826974,9.848989496931951,7.580832543110396,0.4209865318993822
XGBoost,lcoh_s2_brl_kg,3.412093937563832,1.667515723995927,0.9138218562572432,1.5067890263710797,0.7660077996503837,0.9864477871377475
LightGBM,lcoh_s2_brl_kg,3.321516563829812,1.5110452817860562,0.9167780319445313,1.3619453878374157,0.6234273441861088,0.9889280350138595
