feature,shap_mean,modelo,target
val_pld_brl_mwh,7.1948338,XGBoost,lcoh_s2_brl_kg
estado_cod,3.575371,XGBoost,lcoh_s2_brl_kg
coff_media_30d,2.9671052,XGBoost,lcoh_s2_brl_kg
pld_media_24h,0.800615,XGBoost,lcoh_s2_brl_kg
coff_media_7d,0.51467496,XGBoost,lcoh_s2_brl_kg
pld_lag_24h,0.21436206,XGBoost,lcoh_s2_brl_kg
mes,0.16514619,XGBoost,lcoh_s2_brl_kg
val_coff_mwmed,0.16193461,XGBoost,lcoh_s2_brl_kg
pld_lag_7d,0.1557154,XGBoost,lcoh_s2_brl_kg
fator_coff_pct,0.14214475,XGBoost,lcoh_s2_brl_kg
ano,0.14148203,XGBoost,lcoh_s2_brl_kg
coff_lag_7d,0.10575974,XGBoost,lcoh_s2_brl_kg
hora,0.09943585,XGBoost,lcoh_s2_brl_kg
pld_media_7d,0.09542417,XGBoost,lcoh_s2_brl_kg
coff_media_24h,0.062185265,XGBoost,lcoh_s2_brl_kg
ghi_wm2,0.056306258,XGBoost,lcoh_s2_brl_kg
is_fim_semana,0.051344737,XGBoost,lcoh_s2_brl_kg
fcoff_media_24h,0.03744361,XGBoost,lcoh_s2_brl_kg
dia_semana,0.03377313,XGBoost,lcoh_s2_brl_kg
coff_lag_1h,0.02695398,XGBoost,lcoh_s2_brl_kg
vento_ms,0.022312904,XGBoost,lcoh_s2_brl_kg
is_seca,0.011534602,XGBoost,lcoh_s2_brl_kg
coff_lag_2h,0.0068534403,XGBoost,lcoh_s2_brl_kg
periodo_dia_cod,0.0062880716,XGBoost,lcoh_s2_brl_kg
coff_lag_24h,0.0062227724,XGBoost,lcoh_s2_brl_kg
coff_lag_6h,0.0058676167,XGBoost,lcoh_s2_brl_kg
