dat_referencia,sig_estado,y_real,val_pld,y_pred,modelo,target
2025-12-01 08:00:00,PE,45.44665114219258,321.03,45.51389164977466,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:00:00,RN,35.766414154865615,321.03,35.68489624645066,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:00:00,PI,46.09252467864022,321.03,46.094518313479625,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:00:00,CE,38.120125498308354,321.03,38.192674836142274,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:00:00,BA,36.76605941816798,321.03,36.94612176776246,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:30:00,CE,38.120125498308354,321.03,38.16021785669281,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:30:00,PI,46.09252467864022,321.03,46.22764691634372,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:30:00,RN,35.766414154865615,321.03,35.70992956768087,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:30:00,PE,45.44665114219258,321.03,45.42504259750618,LightGBM,lcoh_s2_brl_kg
2025-12-01 08:30:00,BA,36.76605941816798,321.03,36.89134757454809,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:00:00,PI,46.07308023419577,320.78,46.21620467338209,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:00:00,RN,35.74696971042117,320.78,35.70288635745942,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:00:00,BA,36.74661497372353,320.78,36.82153208403284,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:00:00,CE,38.10068105386391,320.78,38.223659241443855,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:00:00,PE,45.42720669774813,320.78,45.48286091245852,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:30:00,BA,36.74661497372353,320.78,36.814658869668726,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:30:00,PE,45.42720669774813,320.78,45.593276343297255,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:30:00,RN,35.74696971042117,320.78,35.74958611791421,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:30:00,PI,46.07308023419577,320.78,46.22742523302592,LightGBM,lcoh_s2_brl_kg
2025-12-01 09:30:00,CE,38.10068105386391,320.78,38.09991753287626,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:00:00,CE,38.09834772053058,320.75,38.066445656654494,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:00:00,BA,36.744281640390206,320.75,36.837190385037026,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:00:00,PI,46.070746900862446,320.75,46.21484926691007,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:00:00,PE,45.42487336441481,320.75,45.59060180383257,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:00:00,RN,35.74463637708784,320.75,35.706771116634634,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:30:00,PE,45.42487336441481,320.75,45.4926697879632,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:30:00,CE,38.09834772053058,320.75,38.19049264511976,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:30:00,RN,35.74463637708784,320.75,35.68822523220124,LightGBM,lcoh_s2_brl_kg
2025-12-01 10:30:00,BA,36.744281640390206,320.75,36.8616369214262,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:00:00,RN,35.78585859931006,321.28,35.75983983872811,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:00:00,BA,36.78550386261242,321.28,37.64588505809037,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:00:00,PE,45.466095586637024,321.28,45.56416467045442,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:00:00,CE,38.1395699427528,321.28,38.410648938005274,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:30:00,RN,35.78585859931006,321.28,35.741968085338875,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:30:00,CE,38.1395699427528,321.28,38.23657973375663,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:30:00,PE,45.466095586637024,321.28,45.559654806085334,LightGBM,lcoh_s2_brl_kg
2025-12-01 11:30:00,BA,36.78550386261242,321.28,37.59844789585438,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:00:00,BA,36.43550386261243,316.78,37.22198350922347,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:00:00,RN,35.43585859931006,316.78,35.32664013673605,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:00:00,PE,45.11609558663703,316.78,45.29972262260083,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:30:00,PE,45.11609558663703,316.78,45.30244689359514,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:30:00,BA,36.43550386261243,316.78,37.22319425777827,LightGBM,lcoh_s2_brl_kg
2025-12-01 12:30:00,RN,35.43585859931006,316.78,35.24224441503963,LightGBM,lcoh_s2_brl_kg
2025-12-01 13:00:00,BA,37.04061497372354,324.56,37.58986703084765,LightGBM,lcoh_s2_brl_kg
2025-12-01 13:00:00,PE,45.721206697748144,324.56,45.85805821482017,LightGBM,lcoh_s2_brl_kg
2025-12-01 13:30:00,PE,45.721206697748144,324.56,45.89923691378788,LightGBM,lcoh_s2_brl_kg
2025-12-01 13:30:00,BA,37.04061497372354,324.56,37.44764859442384,LightGBM,lcoh_s2_brl_kg
2025-12-01 14:00:00,PE,45.928873364414805,327.23,46.1053170883293,LightGBM,lcoh_s2_brl_kg
2025-12-01 14:00:00,BA,37.2482816403902,327.23,38.12791962605866,LightGBM,lcoh_s2_brl_kg
2025-12-01 14:30:00,PE,45.928873364414805,327.23,46.05978007252817,LightGBM,lcoh_s2_brl_kg
2025-12-01 15:00:00,PE,46.61565114219259,336.06,46.038237871679215,LightGBM,lcoh_s2_brl_kg
2025-12-01 15:30:00,PE,46.61565114219259,336.06,46.2107968426758,LightGBM,lcoh_s2_brl_kg
2025-12-01 16:30:00,RN,37.83219193264339,347.59,37.245569860627775,LightGBM,lcoh_s2_brl_kg
2025-12-01 17:00:00,RN,38.16041415486561,351.81,37.422037546888255,LightGBM,lcoh_s2_brl_kg
2025-12-01 17:30:00,RN,38.16041415486561,351.81,37.479874198725156,LightGBM,lcoh_s2_brl_kg
2025-12-01 18:00:00,RN,38.15108082153228,351.69,37.60126814442892,LightGBM,lcoh_s2_brl_kg
2025-12-01 18:30:00,RN,38.15108082153228,351.69,37.681419411142,LightGBM,lcoh_s2_brl_kg
2025-12-01 19:00:00,RN,39.29208082153228,366.36,38.58803854288789,LightGBM,lcoh_s2_brl_kg
2025-12-01 19:30:00,RN,39.29208082153228,366.36,38.5132368279439,LightGBM,lcoh_s2_brl_kg
2025-12-01 20:00:00,RN,38.732080821532286,359.16,38.58992008208752,LightGBM,lcoh_s2_brl_kg
2025-12-01 20:30:00,RN,38.732080821532286,359.16,38.5985484694519,LightGBM,lcoh_s2_brl_kg
2025-12-01 21:00:00,RN,39.07585859931006,363.58,38.48674979350463,LightGBM,lcoh_s2_brl_kg
2025-12-01 21:30:00,RN,39.07585859931006,363.58,38.456898868819565,LightGBM,lcoh_s2_brl_kg
2025-12-01 22:00:00,RN,38.36808082153229,354.48,37.96667629222716,LightGBM,lcoh_s2_brl_kg
2025-12-01 22:30:00,RN,38.36808082153229,354.48,37.96160768631656,LightGBM,lcoh_s2_brl_kg
2025-12-01 23:00:00,RN,37.656414154865615,345.33,37.367217460786605,LightGBM,lcoh_s2_brl_kg
2025-12-01 23:30:00,RN,37.656414154865615,345.33,37.32349645886296,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,PE,45.38365114219258,320.22,45.64307475074464,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,PB,50.63535152087289,320.22,51.36220435833794,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,CE,38.05712549830836,320.22,39.181052242570445,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,PI,46.02952467864023,320.22,46.393836430041894,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,BA,36.70305941816798,320.22,38.58327608230825,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:00:00,RN,35.70341415486561,320.22,36.47011976510925,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,RN,35.70341415486561,320.22,36.091929425197584,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,PI,46.02952467864023,320.22,46.01434993276975,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,BA,36.70305941816798,320.22,38.17663588352508,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,PE,45.38365114219258,320.22,45.68776581315234,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,CE,38.05712549830836,320.22,38.87291538717073,LightGBM,lcoh_s2_brl_kg
2025-12-02 07:30:00,PB,50.63535152087289,320.22,51.04267191083188,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,RN,35.71274748819894,320.34,35.89946019285,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,PI,46.03885801197355,320.34,45.92555547976784,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,CE,38.06645883164168,320.34,38.454501341869154,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,BA,36.71239275150131,320.34,37.97945568104899,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,PE,45.39298447552591,320.34,45.503649856457166,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:00:00,PB,50.64468485420622,320.34,50.95581091680594,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,PE,45.39298447552591,320.34,45.2427723354185,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,RN,35.71274748819894,320.34,35.88495610016345,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,BA,36.71239275150131,320.34,38.01591100963541,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,CE,38.06645883164168,320.34,38.069882465257564,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,PI,46.03885801197355,320.34,45.972710608957016,LightGBM,lcoh_s2_brl_kg
2025-12-02 08:30:00,PB,50.64468485420622,320.34,51.01023533102595,LightGBM,lcoh_s2_brl_kg
2025-12-02 09:00:00,PB,50.60035152087289,319.77,51.40890513521685,LightGBM,lcoh_s2_brl_kg
2025-12-02 09:00:00,BA,36.668059418167985,319.77,38.03271663453366,LightGBM,lcoh_s2_brl_kg
