feature,shap_mean,modelo,target
val_pld_brl_mwh,7.60178619460108,LightGBM,lcoh_s2_brl_kg
estado_cod,3.463363862750085,LightGBM,lcoh_s2_brl_kg
coff_media_30d,2.8929429052634608,LightGBM,lcoh_s2_brl_kg
coff_media_7d,0.897383226098229,LightGBM,lcoh_s2_brl_kg
pld_media_24h,0.6347826476504276,LightGBM,lcoh_s2_brl_kg
pld_lag_24h,0.18344181737834864,LightGBM,lcoh_s2_brl_kg
mes,0.1376287044704357,LightGBM,lcoh_s2_brl_kg
fator_coff_pct,0.13755759065576975,LightGBM,lcoh_s2_brl_kg
val_coff_mwmed,0.12686962744611296,LightGBM,lcoh_s2_brl_kg
pld_lag_7d,0.1106985803907992,LightGBM,lcoh_s2_brl_kg
ano,0.09833067969158728,LightGBM,lcoh_s2_brl_kg
pld_media_7d,0.058246500086677803,LightGBM,lcoh_s2_brl_kg
hora,0.04411644700187174,LightGBM,lcoh_s2_brl_kg
coff_lag_7d,0.043481636943574264,LightGBM,lcoh_s2_brl_kg
coff_media_24h,0.03365878233697999,LightGBM,lcoh_s2_brl_kg
is_seca,0.03238539609568423,LightGBM,lcoh_s2_brl_kg
fcoff_media_24h,0.030897254703833955,LightGBM,lcoh_s2_brl_kg
dia_semana,0.025586867352546186,LightGBM,lcoh_s2_brl_kg
ghi_wm2,0.013321122089040278,LightGBM,lcoh_s2_brl_kg
vento_ms,0.008925771050435143,LightGBM,lcoh_s2_brl_kg
coff_lag_1h,0.007057919957171357,LightGBM,lcoh_s2_brl_kg
coff_lag_24h,0.005798094271652198,LightGBM,lcoh_s2_brl_kg
coff_lag_2h,0.004370065838654258,LightGBM,lcoh_s2_brl_kg
periodo_dia_cod,0.002291629686361601,LightGBM,lcoh_s2_brl_kg
is_fim_semana,0.002280638744109752,LightGBM,lcoh_s2_brl_kg
coff_lag_6h,0.0013883678487968379,LightGBM,lcoh_s2_brl_kg
