feature,shap_mean,modelo,target
fator_coff_pct,2.7818242189427678,Baseline_Ridge,lcoh_s1_brl_kg
val_coff_mwmed,2.698455086118913,Baseline_Ridge,lcoh_s1_brl_kg
ano,1.7832747087931515,Baseline_Ridge,lcoh_s1_brl_kg
coff_media_30d,1.7582693338880844,Baseline_Ridge,lcoh_s1_brl_kg
mes,1.6942089666906275,Baseline_Ridge,lcoh_s1_brl_kg
coff_media_24h,1.4214800040547295,Baseline_Ridge,lcoh_s1_brl_kg
fcoff_media_24h,1.2724536989521864,Baseline_Ridge,lcoh_s1_brl_kg
ghi_wm2,0.6055183422118116,Baseline_Ridge,lcoh_s1_brl_kg
coff_lag_2h,0.5997641701123623,Baseline_Ridge,lcoh_s1_brl_kg
vento_ms,0.47865834132173657,Baseline_Ridge,lcoh_s1_brl_kg
is_fim_semana,0.4565170763298027,Baseline_Ridge,lcoh_s1_brl_kg
estado_cod,0.4492659151994393,Baseline_Ridge,lcoh_s1_brl_kg
pld_lag_7d,0.42197294790586076,Baseline_Ridge,lcoh_s1_brl_kg
pld_media_7d,0.36690846377374753,Baseline_Ridge,lcoh_s1_brl_kg
val_pld_brl_mwh,0.36555419111860116,Baseline_Ridge,lcoh_s1_brl_kg
coff_lag_7d,0.3625798738531564,Baseline_Ridge,lcoh_s1_brl_kg
hora,0.22401967103867956,Baseline_Ridge,lcoh_s1_brl_kg
coff_lag_1h,0.19877044616794912,Baseline_Ridge,lcoh_s1_brl_kg
coff_media_7d,0.19721979412857338,Baseline_Ridge,lcoh_s1_brl_kg
pld_media_24h,0.16446341813387613,Baseline_Ridge,lcoh_s1_brl_kg
pld_lag_24h,0.11341148265370539,Baseline_Ridge,lcoh_s1_brl_kg
coff_lag_24h,0.10514738978575386,Baseline_Ridge,lcoh_s1_brl_kg
coff_lag_6h,0.08145126074726651,Baseline_Ridge,lcoh_s1_brl_kg
dia_semana,0.0575603850738263,Baseline_Ridge,lcoh_s1_brl_kg
periodo_dia_cod,0.006159392431593396,Baseline_Ridge,lcoh_s1_brl_kg
is_seca,0.0016986846206895763,Baseline_Ridge,lcoh_s1_brl_kg
