sim,capex_usd,eta,wacc,brl_usd,lcoh_s1_usd_kg,lcoh_s2_usd_kg
0,887.2535614758425,0.6729260354824322,0.1504605971281605,5.4597539875829995,2.9713851368233852,5.5956433704163056
1,699.1777832691529,0.6676079486255486,0.10141630666138882,5.553949543664712,3.5186797862288084,6.120098128050672
2,806.4341399482364,0.6671224528923279,0.1015183432450579,4.746235296191919,1.6609808131277817,4.958585122318465
3,667.0670638707983,0.684051618375572,0.11672265767010459,5.0871010920536195,2.801809180179448,5.978634898037173
4,809.1712956606113,0.6766638388456481,0.12751396036691343,5.349808393024359,3.5481705055511967,6.062274088999492
5,908.4394475886254,0.6584835336547525,0.12746237829458837,5.414058114830634,2.51327021945216,4.994805870416693
6,755.1160664558018,0.6913798839653651,0.14387279448564635,5.595591494816159,11.40697454092175,14.34993193596273
7,841.3263788208819,0.6704834445661607,0.10560311583210583,5.391808368712064,3.267226353413194,6.1067646617275635
8,736.7532038337544,0.6858225369353798,0.10973349189205667,5.516938959257951,1.5349362004777296,3.966275618555302
9,893.659209603478,0.6883162268939004,0.1350999559448947,5.467850232968628,2.2362126537291718,4.712882039464133
10,782.7748612653023,0.6733201826923959,0.09752203330919926,5.815001618652154,3.9342170613861547,6.959219095182797
11,844.599240881475,0.6900529934683804,0.1070976049078975,5.638418681652524,9.826690255026977,12.73090994263894
12,803.8843180437017,0.679993386607334,0.11438387416946494,5.5120548209015,3.3399564831939235,6.0628600583497265
13,917.7649367969382,0.6752850049659322,0.09009892258371327,5.293222501390624,9.626708720297716,12.495755827095042
14,789.3629797830109,0.667473644346232,0.1265750221931937,5.371071938869888,4.638183085096926,7.5551286469554375
15,824.1939594016511,0.6862617882838413,0.10276803891503342,5.452544560439098,2.0410098078365952,4.725555975498978
16,945.5300215104667,0.6706207099376157,0.12691035887777533,5.4113450645259125,3.9847351442463115,6.381831026262157
17,800.0454534827178,0.6672931876273763,0.09082966158026484,5.331178505986537,1.7344874129876378,4.442481759576092
18,706.0921588525719,0.6746022918682618,0.16926484224970573,5.472291710565663,2.2757998621054742,4.985399612723784
19,662.5930643770967,0.6972049284175825,0.14463556753432222,5.465702655023143,1.7788821182012104,4.293353129994314
20,789.862911748773,0.6957602357839903,0.14784651506983806,5.265807754441069,2.1154594524577717,4.888591704106351
21,852.1074597511151,0.6570436940499255,0.12862978926526084,5.200974310426844,2.354860094499271,5.0575261583681135
22,733.7002426700401,0.6760284446220904,0.12947184861270364,5.254172729729859,1.877054339029887,4.933365242762901
23,886.148435425217,0.6888968453793048,0.133543721311642,6.091695735196216,11.523598684101593,13.867520237972682
24,928.2895458188993,0.6828967224200205,0.17078325432538666,5.432652712651333,5.3652137959981925,8.023944200825298
25,925.0364205821579,0.677286312933889,0.10306771286270405,5.774845816864412,3.5964703421311137,6.147118609282696
26,868.7869637759408,0.6801967231424547,0.12464507394322007,5.617921741989605,3.896122240152037,6.205813651825713
27,776.0963652155734,0.658590893863973,0.10393644669974704,5.5285429166046915,2.9121051895425096,5.261664750017929
28,950.7376159222584,0.6639817852507871,0.14209856436900298,5.7202720888792875,5.769350388926981,9.011272740403388
29,783.2864177780857,0.6627628457255185,0.12682303949633286,5.613007239799006,2.0740176925074896,4.8890084935231295
30,947.5258860997405,0.6548471435389885,0.1278867990292966,5.528591201597933,4.556096407474539,6.867772151926349
31,853.1485048352517,0.6729409227435328,0.13480681635895478,5.394261330296599,4.146291246492848,7.013907003998023
32,804.296996808669,0.6627971835455997,0.11463963296314254,5.858898936862327,2.079112032212213,4.331791582101943
33,783.710692284915,0.677305876589183,0.09714059404338754,5.637336208104485,1.5780796076339196,4.2636225026368955
34,881.3979601879452,0.66407731125955,0.12935434154996234,5.064569816772805,4.0157198863326125,6.609903978024938
35,761.2550783909186,0.6824249348128755,0.10625649649334978,5.550505375331149,8.780316979928905,11.22304373082676
36,759.9901196702377,0.6930207066632654,0.12281814736142643,5.636325875535899,3.392499262549821,5.41610195855881
37,967.0285105849659,0.6769282650010663,0.0945825638624792,6.246710787217739,10.720728611169928,13.478271360075443
38,841.9604143629156,0.6677067407137032,0.11132116801979897,5.310192339608847,4.635207036404714,7.328211621796096
39,887.8740459235343,0.6879863279125519,0.11330997528318103,5.387516406651714,4.430823497113539,6.791336479992795
40,863.7891635807168,0.6836684570264826,0.12453697643961573,6.026638487613677,2.5962709652066165,4.976828584535835
41,795.194394757776,0.6558012040010531,0.1574401136094461,5.524167357730136,12.455637109962192,14.865328683420584
42,813.9063899632371,0.6435930899394741,0.12278408221913632,5.530544083358403,3.848064284499003,6.742062855375968
43,922.9474650174093,0.698167122580617,0.13852465085770066,5.712351562100442,2.7822186903924893,5.490050115055102
44,803.8649741671502,0.7066697646242438,0.12141944831279491,5.661798142031031,1.9815062132783476,4.424962217470611
45,799.8268879512486,0.6619787366189327,0.0946523539697533,5.563089873590027,8.791782019981449,11.271529285404219
46,834.3908312232044,0.6676049859801175,0.1369920419404205,5.637104645789514,4.078783731288567,6.435655335398077
47,883.6486505539003,0.6738190247449829,0.14779132677229928,6.091127169344656,2.6823513577293463,5.267923914266549
48,715.9246291051163,0.6566914484357722,0.1432387463549355,5.995857932751798,1.872158336044082,4.180796965410431
49,802.9856597846384,0.6548698904391997,0.18507970252175213,5.066500315420901,3.155180084036093,5.805583191613183
50,874.3124764366331,0.6730478541844848,0.13190314050873828,5.284533795029959,2.6233847261531795,5.928102223164447
51,934.2656336268637,0.7071480778217083,0.1249862908324391,5.627355494912367,2.5398711597035195,5.356010692123751
52,896.0381006106568,0.6953682118214999,0.12407645455054933,5.697732760784358,3.946840392852285,6.5739428836829665
